,station_id,stationname,num_lines,line,Latitude,Longitude,rltv_ride_dif,rides,ride_dif,year
50,40820,Rosemont,1.0,BLUE,41.983507,-87.859388,0.00749697390263,2106653.0,15676.0,1
51,40830,18th,1.0,PINK,41.857908,-87.669147,0.0309312180776,656597.0,19700.0,1
52,40870,Francisco,1.0,BROWN,41.966046,-87.701644,0.0174140610723,484974.714286,16635.4285714,2
53,40880,Thorndale,1.0,RED,41.990259,-87.659076,0.0143819111998,1018715.5,28796.0,2
54,40890,O'Hare Airport,1.0,BLUE,41.97766526,-87.90422307,0.152767982674,4053704.0,537208.0,1
55,40900,Howard,3.0,MULTI,42.019063,-87.672892,0.0810269930137,2209310.0,165596.0,1
56,40910,63rd-Dan Ryan,1.0,RED,41.780536,-87.630952,0.00239910230345,1037513.14286,2483.14285714,1
57,40930,Midway Airport,1.0,ORANGE,41.78661,-87.737875,0.0145755413688,2845857.0,40884.0,1
58,40960,Pulaski-Orange,1.0,ORANGE,41.799756,-87.724493,0.0338698444081,1592814.0,52181.0,1
59,40970,Cicero-Forest Park,1.0,BLUE,41.871574,-87.745154,0.00469122190208,482940.0,2255.0,1
60,40980,Harlem-Forest Park,1.0,BLUE,41.87349,-87.806961,0.0518033161744,386381.0,19030.0,1
61,40990,69th,1.0,RED,41.768367,-87.625724,0.0391416449213,1870456.0,70455.0,1
62,41010,Rockwell,1.0,BROWN,41.966115,-87.6941,0.022406001453,577198.285714,12649.2857143,1
63,41020,Logan Square,1.0,BLUE,41.929728,-87.708541,0.0129354718323,2315219.0,29566.0,1
64,41030,Polk,1.0,PINK,41.871551,-87.66953,0.0378350610189,993972.0,36236.0,1
65,41040,Kedzie-Cermak,1.0,PINK,41.853964,-87.705408,0.0496577997298,379128.0,17936.0,1
66,41050,Linden,1.0,PURPLE,42.073153,-87.69073,0.100663553867,321298.0,29385.0,1
67,41060,Ashland-Orange,1.0,ORANGE,41.839234,-87.665317,0.0403853026087,518218.0,20116.0,1
68,41070,Kedzie-Lake,1.0,GREEN,41.884321,-87.706155,0.0103490247922,520452.0,5331.0,1
69,41090,Monroe/State,1.0,RED,41.880745,-87.627696,0.0836350867816,3487284.0,269149.0,1
70,41150,Kedzie-Midway,1.0,ORANGE,41.804236,-87.704406,0.116846454137,1042853.14286,109105.142857,1
71,41160,Clinton-Lake,2.0,MULTI,41.885678,-87.641782,0.0293114970148,1215270.0,34607.0,1
72,41170,Garfield-Dan Ryan,1.0,RED,41.79542,-87.631157,0.0310411943099,1252813.0,37718.0,1
73,41180,Kedzie-Brown,1.0,BROWN,41.965996,-87.708821,0.00485129775479,648702.857143,3131.85714286,1
74,41190,Jarvis,1.0,RED,42.015876,-87.669092,0.0171933304993,581445.0,9828.0,1
75,41210,Wellington,2.0,MULTI,41.936033,-87.653266,0.0273076571723,933384.0,24811.0,1
76,41220,Fullerton,3.0,MULTI,41.925051,-87.652866,0.0189705719187,4233730.0,78821.0,1
77,41230,47th-Dan Ryan,1.0,RED,41.810318,-87.63094,0.0514133372359,1092041.0,53400.0,1
78,41240,Addison-O'Hare,1.0,BLUE,41.94738,-87.71906,0.0839167064205,949756.0,73530.0,1
79,41280,Jefferson Park,1.0,BLUE,41.970634,-87.760892,0.0173916992311,2173168.0,37149.0,1
80,41310,Paulina,1.0,BROWN,41.943623,-87.670907,0.00838300768469,869293.714286,7226.71428571,1
81,41330,Montrose-O'Hare,1.0,BLUE,41.961539,-87.743574,0.0205064509416,784647.0,15767.0,1
82,41340,LaSalle,1.0,BLUE,41.875568,-87.631722,0.0329788571351,953217.0,60863.0,2
83,41360,California-Lake,1.0,GREEN,41.88422,-87.696234,0.00377896730087,367356.0,1383.0,1
84,41380,Bryn Mawr,1.0,RED,41.983504,-87.65884,0.00221933467392,1605838.0,3556.0,1
85,41410,Chicago/Milwaukee,1.0,BLUE,41.896075,-87.655214,0.0345400615227,1354664.0,45228.0,1
86,41420,Addison-North Main,1.0,RED,41.947428,-87.653626,0.0277789791055,3040232.71429,160816.428571,2
87,41430,87th,1.0,RED,41.735372,-87.624717,0.00670091252966,1516456.0,10094.0,1
88,41440,Addison-Brown,1.0,BROWN,41.947028,-87.674642,0.042933263876,767646.857143,31600.8571429,1
89,41450,Chicago/State,1.0,RED,41.896671,-87.628176,0.00048403115442,5262538.0,2546.0,1
90,41460,Irving Park-Brown,1.0,BROWN,41.954521,-87.674868,0.0260829122562,987747.428571,25108.4285714,1
91,41490,Harrison,1.0,RED,41.874039,-87.627479,0.110138070161,1497362.0,148555.0,1
92,41500,Montrose-Brown,1.0,BROWN,41.961756,-87.675047,0.0181369605929,877935.428571,15639.4285714,1
93,41510,Morgan-Lake,2.0,MULTI,41.885586,-87.652193,0.109025422308,836431.214286,161384.428571,2
94,41660,Lake/State,1.0,RED,41.884809,-87.627813,0.0725800307851,7011372.0,474450.0,1
95,41670,Conservatory,1.0,GREEN,41.884904,-87.716523,0.058938671094,327840.0,18247.0,1
96,41680,Oakton-Skokie,1.0,YELLOW,42.02624348,-87.74722084,0.734678763721,259998.857143,110115.857143,1
97,41690,Cermak-McCormick Place,1.0,GREEN,41.853115,-87.626402,0.12236672841,438608.571429,47819.5714286,1
